family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,habitat_associated,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,superorder,order,parity_mode,trophic_mode,vertebrate_reproductive_category,reference
Carcharhinidae,j,other,Mediterranean,,Gilman et al (2022),Sharks,2,0,Carcharhinus plumbeus,longline,benthopelagic,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Hexanchidae,j,other,Mediterranean,,Gilman et al (2022),Sharks,3,0,Hexanchus griseus,longline,bathydemersal,550,1245,lecithotrophic viviparity,ram,at-vessel mortality,,Hexanchus,7.4946,Squalimorphs,Hexanchiformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Carcharhinidae,c,mono,USA,,Gilman et al (2022),Sharks,123,0,Carcharhinus obscurus,longline,reef-associated,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Pseudocarchariidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1621,0.13325108,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1414,0.35572843,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1061,0.506126296,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Batoids,396,0.01010101,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Sphyrnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,372,0.709677419,Sphyrna zygaena,longline,pelagic-oceanic,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,310,0.558064516,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,281,0.341637011,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,168,0.30952381,Isurus paucus,longline,pelagic-oceanic,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,36,0.027777778,Galeocerdo cuvier,longline,benthopelagic,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,,,,,,
Triakidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,25,0,Galeorhinus galeus,longline,benthopelagic,199,400,lecithotrophic viviparity,ram,at-vessel mortality,,Galeorhinus,11.901,Galeomorphs,Carcharhiniformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Sphyrnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,21,0.571428571,Sphyrna lewini,longline,pelagic-oceanic,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,11,0.636363636,Carcharhinus altimus,longline,reef-associated,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,10,0.3,Lamna nasus,longline,pelagic-oceanic,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,3,0.666666667,Alopias vulpinus,longline,pelagic-oceanic,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,3,0,Sphyrna mokarran,longline,pelagic-oceanic,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Ginglymostomatidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,0,Ginglymostoma cirratum,longline,reef-associated,308,65,lecithotrophic viviparity,stationary,at-vessel mortality,,Ginglymostoma,3.1785,Galeomorphs,Orectolobiformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Ginglymostomatidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,0,Ginglymostoma cirratum,longline,reef-associated,308,65,lecithotrophic viviparity,ram,at-vessel mortality,,Ginglymostoma,3.1785,Galeomorphs,Orectolobiformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Ginglymostomatidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,0,Ginglymostoma cirratum,longline,reef-associated,308,65,lecithotrophic oviparity,stationary,at-vessel mortality,,Ginglymostoma,3.1785,,,,,,
Centrophoridae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,1,Centrophorus granulosus,longline,bathydemersal,176,775,lecithotrophic viviparity,stationary,at-vessel mortality,,Centrophorus,9.3579,,,,,,
Dalatiidae,j,other,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,1,0,Isistius brasiliensis,longline,bathypelagic,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,Squalimorphs,Squaliformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Alopiidae,j,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,32,0.375,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,j,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Batoids,123,0.097560976,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Pseudocarchariidae,j,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,117,0.085470085,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,c,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,62,0.935483871,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,c,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Batoids,61,0.098360656,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Pseudocarchariidae,c,mono,Tropical Atlantic,Portugal,Gilman et al (2022),Sharks,291,0.092783505,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Sharks,225,0.235555556,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Sharks,1,1,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Sharks,1,1,Isurus paucus,longline,pelagic-oceanic,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Batoids,1497,0.017368069,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Lamnidae,c,mono,Pacific Ocean,Vanuatu,Gilman et al (2022),Sharks,25,0.4,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,41,0.341463415,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,2,0,Carcharhinus altimus,longline,reef-associated,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,5,0,Carcharhinus melanopterus,longline,reef-associated,180,50,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.9127,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,215,0.153488372,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,10,0,Carcharhinus brachyurus,longline,reef-associated,322,73,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.2708,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,16,0.1875,Alopias vulpinus,longline,pelagic-oceanic,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Pseudocarchariidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,2,0,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,1,0,Carcharhinus galapagensis,longline,reef-associated,300,143,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0985,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,1,1,Sphyrna mokarran,longline,pelagic-oceanic,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,10,0.4,Isurus paucus,longline,pelagic-oceanic,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,4,0,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Squatinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,1,0,Squatina tergocellatoides,longline,demersal,100,200,lecithotrophic viviparity,stationary,at-vessel mortality,,Squatina,10.32279231,Squalimorphs,Squatiniformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Alopiidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,22,0.363636364,Alopias pelagicus,longline,pelagic-oceanic,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,6,0.5,Carcharhinus plumbeus,longline,benthopelagic,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,1,1,Sphyrna lewini,longline,pelagic-oceanic,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,19,0.052631579,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,368,0.29076087,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Palau,Palau,Gilman et al (2022),Sharks,8,0,Galeocerdo cuvier,longline,benthopelagic,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,,,,,,
Dasyatidae,j,mono,Palau,Palau,Gilman et al (2022),Batoids,372,0.180107527,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Mobulidae,j,mono,Palau,Palau,Gilman et al (2022),Batoids,1,0,Mobula japanica,longline,reef-associated,314,324.5,,ram,at-vessel mortality,,Mobula,5.9304,,,,,,
Carcharhinidae,c,mono,Palau,Palau,Gilman et al (2022),Sharks,230,0.060869565,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,c,mono,Palau,Palau,Gilman et al (2022),Sharks,130,0.5,Alopias pelagicus,longline,pelagic-oceanic,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,c,mono,Palau,Palau,Gilman et al (2022),Sharks,74,0.297297297,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,c,mono,Palau,Palau,Gilman et al (2022),Sharks,5,0.6,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,c,mono,Palau,Palau,Gilman et al (2022),Sharks,2,0,Alopias vulpinus,longline,pelagic-oceanic,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,c,mono,Palau,Palau,Gilman et al (2022),Sharks,4,0.75,Isurus paucus,longline,pelagic-oceanic,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,c,mono,Palau,Palau,Gilman et al (2022),Sharks,1,1,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,c,mono,Palau,Palau,Gilman et al (2022),Batoids,161,0.037267081,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Mobulidae,c,mono,Palau,Palau,Gilman et al (2022),Batoids,1,0,Mobula birostris,longline,reef-associated,700,500,,ram,at-vessel mortality,,Mobula,6.353,,,,,,
Carcharhinidae,c,mono,USA,,Gilman et al (2022),Sharks,172,1,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,c,mono,Pacific Ocean,China,Gilman et al (2022),Batoids,44,0,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Carcharhinidae,c,mono,Pacific Ocean,China,Gilman et al (2022),Sharks,3,0,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,c,wire,Australia,,Gilman et al (2022),Sharks,11,0,Carcharhinus brachyurus,longline,reef-associated,322,73,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.2708,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,c,wire,Australia,,Gilman et al (2022),Sharks,5,0,Sphyrna zygaena,longline,pelagic-oceanic,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,c,wire,Australia,,Gilman et al (2022),Sharks,2,0,Carcharhinus obscurus,longline,reef-associated,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,c,mono,Cook Island,China,Gilman et al (2022),Sharks,3,0,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,c,mono,Cook Island,China,Gilman et al (2022),Sharks,181,0,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,c,mono,Cook Island,China,Gilman et al (2022),Sharks,8,0.125,Isurus paucus,longline,pelagic-oceanic,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,c,mono,Cook Island,China,Gilman et al (2022),Batoids,183,0.005464481,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Alopiidae,c,mono,Cook Island,China,Gilman et al (2022),Sharks,12,0,Alopias pelagicus,longline,pelagic-oceanic,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,c,mono,Cook Island,China,Gilman et al (2022),Sharks,8,0,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,c,mono,Cook Island,China,Gilman et al (2022),Sharks,52,0,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,c,mono,Cook Island,China,Gilman et al (2022),Sharks,1,0,Alopias vulpinus,longline,pelagic-oceanic,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Triakidae,c,mono,Tunisia,,Gilman et al (2022),Sharks,6,0,Mustelus mustelus,longline,demersal,174.5,400,lecithotrophic viviparity,ram,at-vessel mortality,,Mustelus,11.068,,,,,,
Dasyatidae,c,mono,Tunisia,,Gilman et al (2022),Batoids,1,0,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Carcharhinidae,c,mono,Tunisia,,Gilman et al (2022),Sharks,122,0.647540984,Carcharhinus plumbeus,longline,benthopelagic,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,c,mono,Tunisia,,Gilman et al (2022),Sharks,11,0.454545455,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
