scientific_name,common_name,family,lifestage,gear_class,gear_type,fishery_type,target_fishery_species,target_fishery_common,flagstate,ocean,ocean_region,rfmo,location,habitat,estimate_type,estimate,sample_size,method,start_year,end_year,time_scale,ventilation_method,max_size_cm,measure,growth_rate_r,median_depth,geographic_range,reproductive_mode,median_temp,habitat_associated,reference,notes,reviewer,genus,species,demers_pelag,length,l_type_max_m,depth_range_shallow,depth_range_deep
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,circle hook,research,,,,Pacific,NW,,Central Pacific,pelagic,post-release mortality,0.05,10,satellite tag,2003,2005,sporadic,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Musyl et al 2011,Individuals tagged with PTT-100s,LF,Carcharhinus,falciformis,reef-associated,350,TL,0,4000
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,circle hook,research,,,Marshall Islands and Palau,Pacific,W,,Palau,pelagic,post-release mortality,0.2,35,satellite tag,2016,2016,sporadic,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Musyl et al 2016,Individuals tagged with sPATs,LF,Carcharhinus,falciformis,reef-associated,350,TL,0,4000
Carcharhinus falciformis,silky shark,Carcharhinidae,,pole and line,rod and reel,research,,,,Pacific,NE,,Southern California,coastal,post-release mortality,0.26,20,satellite tag,2007,2009,annual,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Heberer et al 2010,Individuals tagged with MK-10 PATs; Recreational fishery,LF,Carcharhinus,falciformis,reef-associated,350,TL,0,4000
Alopias vulpinus,common thresher shark,Alopiidae,,pole and line,rod and reel,research,,,,Pacific,NE,,Southern California,coastal,post-release mortality,0.78,10,satellite tag,2010,2012,annual,ram,573.3,total_length,,325,,oophagy,26,pelagic,Sepulveda et al 2015,Tail hooked,LF,Alopias,vulpinus,pelagic-oceanic,573.29998779296875,TL,0,650
Alopias vulpinus,common thresher shark,Alopiidae,,pole and line,rod and reel,research,,,,Pacific,NE,,Southern California,coastal,post-release mortality,0.06,7,satellite tag,2011,2012,annual,ram,573.3,total_length,,325,,oophagy,26,pelagic,Sepulveda et al 2015,Mouth hooked,LF,Alopias,vulpinus,pelagic-oceanic,573.29998779296875,TL,0,650
Alopias vulpinus,common thresher shark,Alopiidae,,longline,,research,,,,Pacific,SE,,Chile,pelagic,post-release mortality,0.44,9,satellite tag,2007,2007,sporadic,ram,573.3,total_length,,325,,oophagy,26,pelagic,Abascal et al 2011,Individuals tagged with MK-10 PATs; Research sampling,LF,Alopias,vulpinus,pelagic-oceanic,573.29998779296875,TL,0,650
Isurus oxyrinchus,shortfin mako shark,Lamnidae,,longline,circle hook,research,,,,Pacific,NE,,Hawaii,pelagic,post-release mortality,0.17,2,satellite tag,2002,2006,sporadic,ram,445,total_length,,375,,oophagy,26,pelagic,Musyl et al 2011,Individuals tagged with PTT-100s,LF,Isurus,oxyrinchus,pelagic-oceanic,445,TL,0,750
Isurus oxyrinchus,shortfin mako shark,Lamnidae,,pole and line,rod and reel,research,,,,Pacific,SW,,Tasmania,pelagic,post-release survival,0.1,30,satellite tag,2013,2013,sporadic,ram,445,total_length,,375,,oophagy,26,pelagic,French et al 2015,Individuals tagged with sPATs; Research sampling,LF,Isurus,oxyrinchus,pelagic-oceanic,445,TL,0,750
Isurus oxyrinchus,shortfin mako shark,Lamnidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obsesus, Thunnus thynnus, Xiphias gladius","atlantic bluefin tuna, bigeye tuna, striped marlin, yellowfin tuna",Canada,Atlantic,NW,,Canada,pelagic,post-release mortality,0.3,26,satellite tag,2010,2014,sporadic,ram,445,total_length,,375,,oophagy,26,pelagic,Campana et al 2016,Individuals tagged with MK-10 PATs,LF,Isurus,oxyrinchus,pelagic-oceanic,445,TL,0,750
Lamna nasus,porbeagle shark,Lamnidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obsesus, Thunnus thynnus, Xiphias gladius","atlantic bluefin tuna, bigeye tuna, striped marlin, yellowfin tuna",Canada,Atlantic,NW,,Canada,pelagic,post-release mortality,0.18,33,satellite tag,2010,2014,sporadic,ram,365,total_length,,904.5,,oophagy,7.5,pelagic,Campana et al 2016,Individuals tagged with MK-10 PATs,LF,Lamna,nasus,pelagic-oceanic,350,TL,0,1360
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,,longline,circle hook,research,,,,Pacific,NW,,Central Pacific,pelagic,post-release mortality,0.04,13,satellite tag,2001,2005,sporadic,ram,350,total_length,,541,,placental viviparity,28,pelagic,Musyl et al 2011,Individuals tagged with PTT-100s,LF,Carcharhinus,longimanus,pelagic-oceanic,400,TL,0,1082
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,,longline,,,,tuna,,Pacific,NE,WCPFC,Hawaii,pelagic,post-release mortality,0.5,2,satellite tag,,,,ram,350,total_length,,541,,placental viviparity,28,pelagic,Hutchinson 2016,Individuals tagged with sPATs,LF,Carcharhinus,longimanus,pelagic-oceanic,400,TL,0,1082
Alopias superciliosus,bigeye thresher shark,Alopiidae,,longline,circle hook,research,,,,Pacific,NW,,Central Pacific,pelagic,post-release mortality,0.12,3,satellite tag,2002,2004,sporadic,ram,484,total_length,,361.5,,oophagy,27,pelagic,Musyl et al 2011,Individuals tagged with PTT-100s,LF,Alopias,superciliosus,pelagic-oceanic,487.9849853515625,TL,0,730
Alopias superciliosus,bigeye thresher shark,Alopiidae,,longline,,,,tuna,,Pacific,NE,WCPFC,Hawaii,pelagic,post-release mortality,0.25,12,satellite tag,,,,ram,484,total_length,,361.5,,oophagy,27,pelagic,Hutchinson 2016,Individuals tagged with sPATs,LF,Alopias,superciliosus,pelagic-oceanic,487.9849853515625,TL,0,730
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,purse seine,,research,"Katsuwonus pelamis, Thunnus alalunga Thunnus obesus","bigeye tuna, skipjack tuna, yellowfin tuna",Ecuador,Pacific,E,,,pelagic,post-release mortality,1,3,satellite tag,2011,2012,annual,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Eddy et al 2016,Individuals tagged with MiniPATs,LF,Sphyrna,lewini,pelagic-oceanic,430,TL,0,1000
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,gillnet,,research,,,,Atlantic,W,,Gulf of Mexico,coastal,post-release mortality,0.31,2898,prm model,1992,2004,annual,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Hueter et al 2006,Post release mortality assessed indirectly based on release condition,LF,Carcharhinus,limbatus,reef-associated,286,TL,0,140
Sphyrna tiburo,bonnethead shark,Sphyrnidae,,gillnet,,research,,,,Atlantic,W,,Gulf of Mexico,coastal,post-release mortality,0.4,4352,prm model,1992,2004,annual,ram,150,total_length,,45,,placental viviparity,,reef-associated,Hueter et al 2006,Post release mortality assessed indirectly based on release condition,LF,Sphyrna,tiburo,reef-associated,150,TL,10,80
Carcharhinus leucas,bull shark,Carcharhinidae,adult,handline,circle hook,research,,,,Atlantic,W,,Florida and Bahamas,coastal,post-release survival,0.74,27,satellite tag,2010,2012,annual,ram,366,total_length,,82.5,,placental viviparity,,reef-associated,Gallagher et al 2014,Post release survival estimated with SPOT tag data,LF,Carcharhinus,leucas,reef-associated,360,TL,1,164
Galeocerdo cuvier,tiger shark,Carcharhinidae,adult,handline,circle hook,research,,,,Atlantic,W,,Florida and Bahamas,coastal,post-release survival,0,28,satellite tag,2010,2012,annual,ram,740,total_length,,556,,placental viviparity,26,benthopelagic,Gallagher et al 2014,Post release survival estimated with SPOT tag data,LF,Galeocerdo,cuvier,benthopelagic,750,TL,0,800
Sphyrna mokarran,great hammerhead shark,Sphyrnidae,adult,handline,circle hook,research,,,,Atlantic,W,,Florida and Bahamas,coastal,post-release survival,0.57,28,satellite tag,2010,2012,annual,ram,610,total_length,,150,,placental viviparity,,pelagic,Gallagher et al 2014,Post release survival estimated with SPOT tag data,LF,Sphyrna,mokarran,pelagic-oceanic,610,TL,1,300
Galeocerdo cuvier,tiger shark,Carcharhinidae,sub-adult,longline,circle hook,research,,,,Atlantic,W,,Brazil,coastal,post-release mortality,0,21,satellite tag,2008,2011,annual,ram,740,total_length,,556,,placental viviparity,26,benthopelagic,Afonso and Hazin 2014,Individuals tagged with PSAT tags,LF,Galeocerdo,cuvier,benthopelagic,750,TL,0,800
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,NW,,Virginia,coastal,post-release mortality,0.29,50,satellite tag,2011,2012,annual,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Marshall et al 2015,Individuals tagged with PSAT tags,LF,Carcharhinus,obscurus,reef-associated,420,TL,0,400
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,NW,,Virginia,coastal,post-release mortality,0.2,119,satellite tag,2011,2012,annual,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Marshall et al 2015,Individuals tagged with PSAT tags,LF,Carcharhinus,plumbeus,benthopelagic,300,TL,0,500
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,NW,,Virginia,coastal,at-vessel mortality,0.22,50,visual,2011,2012,annual,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Marshall et al 2015,Individuals tagged with PSAT tags,LF,Carcharhinus,obscurus,reef-associated,420,TL,0,400
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,NW,,Virginia,coastal,at-vessel mortality,0.05,119,visual,2011,2012,annual,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Marshall et al 2015,Individuals tagged with PSAT tags,LF,Carcharhinus,plumbeus,benthopelagic,300,TL,0,500
Mobula japanica,spinetail devilray,Mobulidae,adult,purse seine,,multispecies,"Katsuwonus pelamis, Thunnus albacares","skipjack tuna, yellowfin tuna",New Zealand,Pacific,SE,,New Zealand,pelagic,post-release mortality,0.57,7,satellite tag,2013,2015,sporadic,ram,314,disk_width,,324.5,,histotrophy,,reef-associated,Francis and Jones 2017,Individuals tagged with PSAT tags,LF,Mobula,japanica,reef-associated,310,WD,0,647
Lamna nasus,porbeagle shark,Lamnidae,juvenile,longline,circle hook,multispecies,,,,Atlantic,N,,North Atlantic,pelagic,post-release mortality,0.17,53,satellite tag,2001,2019,sporadic,ram,365,total_length,,904.5,,oophagy,7.5,pelagic,Bowlby et al 2021,Individuals tagged with PSAT tags,LF,Lamna,nasus,pelagic-oceanic,350,TL,0,1360
Isurus oxyrinchus,shortfin mako shark,Lamnidae,juvenile,longline,circle hook,multispecies,,,,Atlantic,N,,North Atlantic,pelagic,post-release mortality,0.36,59,satellite tag,2001,2019,sporadic,ram,445,total_length,,375,,oophagy,26,pelagic,Bowlby et al 2021,Individuals tagged with PSAT tags,LF,Isurus,oxyrinchus,pelagic-oceanic,445,TL,0,750
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,NW,,Virginia,pelagic,post-release mortality,0.05,43,satellite tag,2016,2016,sporadic,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Sulikowski et al 2020,Individuals tagged with PSAT tags,LF,Carcharhinus,obscurus,reef-associated,420,TL,0,400
Squalus cubensis,cuban dogfish shark,Squalidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,post-release mortality,0.5,72,satellite tag,2014,2015,sporadic,stationary,110,total_length,,370.5,,yolk-sac viviparity,,demersal,Talwar et al 2017,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,Squalus,cubensis,demersal,110,TL,60,400
Centrophorus sp,gulper shark,Centrophoridae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,post-release mortality,0.83,13,satellite tag,2014,2015,sporadic,stationary,155,total_length,,404,,yolk-sac viviparity,,bathydemersal,Talwar et al 2017,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,,,,,,,
Mustelus canis insularis,smooth dogfish shark,Triakidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,post-release mortality,0.75,14,satellite tag,2014,2015,sporadic,ram,155,total_length,,404,,yolk-sac viviparity,,demersal,Talwar et al 2017,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,,,,,,,
Squalus cubensis,cuban dogfish shark,Squalidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.83,72,visual,2014,2015,sporadic,stationary,110,total_length,,370.5,,yolk-sac viviparity,,demersal,Talwar et al 2017,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,Squalus,cubensis,demersal,110,TL,60,400
Centrophorus sp,gulper shark,Centrophoridae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.31,13,visual,2014,2015,sporadic,stationary,,total_length,,,,yolk-sac viviparity,,bathydemersal,Talwar et al 2017,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,,,,,,,
Mustelus canis insularis,smooth dogfish shark,Triakidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.07,14,visual,2014,2015,sporadic,ram,155,total_length,,404,,yolk-sac viviparity,,demersal,Talwar et al 2017,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,,,,,,,
Hexanchus nakamurai,bigeyed sixgill shark,Hexanchidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.167,16,visual,2014,2015,sporadic,ram,177.8,total_length,,351,,yolk-sac viviparity,,bathydemersal,Talwar et al 2017,,LF,Hexanchus,nakamurai,bathydemersal,180,TL,0,600
Heptranchias perlo,sharpnose sevengill shark,Hexanchidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,1,2,visual,2014,2015,sporadic,ram,140,total_length,,500,,yolk-sac viviparity,,bathydemersal,Talwar et al 2017,,LF,,,,,,,
Hexanchus griseus,bluntnose sixgill shark,Hexanchidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0,1,visual,2014,2015,sporadic,ram,550,total_length,,1245,,yolk-sac viviparity,,bathydemersal,Talwar et al 2017,,LF,Hexanchus,griseus,bathydemersal,482,TL,1,2500
Centrophorus squamosus,leafscale gulper shark,Centrophoridae,,longline,circle hook,research,,,,Atlantic,NE,,Spain,deep-sea,post-release mortality,0.33,9,satellite tag,2013,2015,sporadic,stationary,166,total_length,,1683,,yolk-sac viviparity,23,bathydemersal,Rodriguez-Cabello and Sanchez,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,Centrophorus,squamosus,bathydemersal,164,TL,145,2400
Centrophorus squamosus,leafscale gulper shark,Centrophoridae,,longline,circle hook,research,,,,Atlantic,NE,,Spain,deep-sea,at-vessel mortality,0.012,169,visual,2013,2015,sporadic,stationary,166,total_length,,1683,,yolk-sac viviparity,23,bathydemersal,Rodriguez-Cabello and Sanchez,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,Centrophorus,squamosus,bathydemersal,164,TL,145,2400
Centroscymnus coelolepis,portuguese dogfish shark,Somniosidae,,longline,circle hook,research,,,,Atlantic,NE,,Spain,deep-sea,at-vessel mortality,0.045,44,visual,2013,2015,sporadic,stationary,130,total_length,,1901.5,,yolk-sac viviparity,20,bathydemersal,Rodriguez-Cabello and Sanchez,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,Centroscymnus,coelolepis,bathydemersal,121,TL,128,3700
Deania calcea,birdbeak dogfish shark,Centrophoridae,,longline,circle hook,research,,,,Atlantic,NE,,Spain,deep-sea,at-vessel mortality,0.088,171,visual,2013,2015,sporadic,stationary,162,total_length,,782,,yolk-sac viviparity,,bathydemersal,Rodriguez-Cabello and Sanchez,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,,,,,,,
Galeus melastomus,blackmouth catshark,Scyliorhinidae,,longline,circle hook,research,,,,Atlantic,NE,,Spain,deep-sea,at-vessel mortality,0.38,21,visual,2013,2015,sporadic,stationary,90,total_length,,1027.5,,oviparous,21,demersal,Rodriguez-Cabello and Sanchez,Individuals tagged with PSAT tags and kept in enclosures for barimetric acclimation,LF,Galeus,melastomus,demersal,75,TL,55,1873
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,"circle hook, j hook",multispecies,,,Mexico,Pacific,NE,,Mexico,pelagic,post-release mortality,0.07,69,satellite tag,2018,2018,sporadic,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Schaefer et al. 2021,,SO,Carcharhinus,falciformis,reef-associated,350,TL,0,4000
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,"circle hook, j hook",multispecies,,,Mexico,Pacific,NE,,Mexico,pelagic,post-release survival,0.848,69,satellite tag,2018,2018,sporadic,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Schaefer et al. 2021,,SO,Carcharhinus,falciformis,reef-associated,350,TL,0,4000
Gymnura natalensis,diamond ray,Gymnuridae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.464,84,visual,1989,1992,annual,stationary,250,disk_width,,37.5,,placental viviparity,,demersal,Fennessy 1994,,LF,Gymnura,natalensis,demersal,250,WD,20,100
Himantura gerrardi,whitespotted whipray,Dasyatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.426,47,visual,1989,1992,annual,stationary,107,disk_width,,37.5,,histotrophy,,demersal,Fennessy 1994,,LF,,,,,,,
Dasyatis chrysonota,blue stingray,Dasyatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.177,34,visual,1989,1992,annual,stationary,75,disk_width,,50.5,,histotrophy,,demersal,Fennessy 1994,,LF,Dasyatis,chrysonota,demersal,75,WD,1,110
Himantura uarnak,coach whipray,Dasyatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.25,16,visual,1989,1992,annual,stationary,160,disk_width,,25,,histotrophy,,demersal,Fennessy 1994,,LF,Himantura,uarnak,reef-associated,200,WD,20,50
Bathytoshia lata,brown stingray,Dasyatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.7,10,visual,1989,1992,annual,stationary,260,disk_width,,400,,histotrophy,,demersal,Fennessy 1994,,LF,Bathytoshia,lata,demersal,260,WD,1,800
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.976,169,visual,1989,1992,annual,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Fennessy 1994,,LF,Sphyrna,lewini,pelagic-oceanic,430,TL,0,1000
Mustelus mosis,arabian smoothhound shark,Triakidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.286,14,visual,1989,1992,annual,ram,150,total_length,,135,,yolk-sac viviparity,,demersal,Fennessy 1994,,LF,Mustelus,mosis,demersal,150,TL,,400
Rhizoprionodon acutus,milk shark,Carcharhinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.292,24,visual,1989,1992,annual,ram,178,total_length,,100.5,,placental viviparity,,demersal,Fennessy 1994,,LF,Rhizoprionodon,acutus,benthopelagic,175,TL,1,200
Carcharhinus brevipinna,spinner shark,Carcharhinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.56,25,visual,1989,1992,annual,ram,304,total_length,,100,,placental viviparity,,reef-associated,Fennessy 1994,,LF,Carcharhinus,brevipinna,reef-associated,300,TL,0,100
Carcharhinus obscurus,dusky shark,Carcharhinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.125,8,visual,1989,1992,annual,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Fennessy 1994,,LF,Carcharhinus,obscurus,reef-associated,420,TL,0,400
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.33,6,visual,1989,1992,annual,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Fennessy 1994,,LF,Carcharhinus,plumbeus,benthopelagic,300,TL,0,500
Halaelurus lineatus,lined catshark,Scyliorhinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.192,47,visual,1989,1992,annual,stationary,56,disk_width,,145,,oviparous,,demersal,Fennessy 1994,,LF,Halaelurus,lineatus,demersal,56,TL,0,290
Acroteriobatus leucospilus,greyspot guitarfish,Rhinobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.526,19,visual,1989,1992,annual,stationary,120,disk_width,,50,,yolk-sac viviparity,,demersal,Fennessy 1994,,LF,Acroteriobatus,leucospilus,demersal,56.5,TL,0,100
Rhynchobatus djiddensis,whitespotted wedgefish,Rhinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.182,11,visual,1989,1992,annual,stationary,310,total_length,,38,,yolk-sac viviparity,27,reef-associated,Fennessy 1994,,LF,Rhynchobatus,djiddensis,reef-associated,310,TL,1,75
Acroteriobatus annulatus,lesser guitarfish,Rhinobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.111,9,visual,1989,1992,annual,stationary,140,total_length,,36.5,,yolk-sac viviparity,,demersal,Fennessy 1994,,LF,Acroteriobatus,annulatus,demersal,140,TL,75,
Aetomylaeus bovinus,duckbill eagle ray,Myliobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.25,4,visual,1989,1992,annual,stationary,222,disk_width,,50,,histotrophy,,benthopelagic,Fennessy 1994,,LF,Aetomylaeus,bovinus,benthopelagic,,,10,150
Myliobatis aquila,common eagle ray,Myliobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.5,4,visual,1989,1992,annual,stationary,150,disk_width,,30,,histotrophy,26,benthopelagic,Fennessy 1994,,LF,Myliobatis,aquila,benthopelagic,183,WD,1,300
Aetobatus narinari,whispotted eagle ray,Aetobatidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0,3,visual,1989,1992,annual,stationary,226,disk_width,,30,,histotrophy,,benthopelagic,Fennessy 1994,,LF,Aetobatus,narinari,benthopelagic,230,WD,1,80
Squatina africana,african angelshark,Squatinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.6,10,visual,1989,1992,annual,stationary,122,total_length,,300,,yolk-sac viviparity,,demersal,Fennessy 1994,,LF,Squatina,africana,demersal,80,TL,,494
Torpedo sinuspersici,gulf torpedo,Torpedinidae,,trawl,otter trawl,research,Peneaus indicus,white prawn,,Indian,SW,,South Africa,coastal,at-vessel mortality,0.4,5,visual,1989,1992,annual,stationary,130,total_length,,101,,yolk-sac viviparity,,reef-associated,Fennessy 1994,,LF,Torpedo,sinuspersici,reef-associated,130,TL,1,200
